Drug_ID,Drug,Y
official_v15_1,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,1
official_v15_2,CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,0
official_v15_3,CC[C@@H](c1cccc(O)c1)[C@@H](C)C[NH+](C)C,0
official_v15_4,CC[N+](C)(C)c1cccc(O)c1,0
official_v15_5,CC[N+](C)(C)Cc1ccccc1Br,0
official_v15_6,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0
official_v15_7,CC[NH+](CC)C(C)C(=O)c1ccccc1,0
official_v15_8,CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,0
official_v15_9,CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
official_v15_10,CC[NH+](CC)CCNC(=O)c1ccc(N)cc1,0
official_v15_11,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,0
official_v15_12,CC[NH+](CC)CCOC(=O)c1ccc(N)cc1Cl,0
official_v15_13,O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0
official_v15_14,CCC([NH2+]C(C)C)C(O)c1ccc(O)c(O)c1,0
official_v15_15,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,0
official_v15_16,C#CC[NH+](C)Cc1ccccc1,0
official_v15_17,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)[O-],0
official_v15_18,Clc1cc(Cl)c(OCC#CI)cc1Cl,0
official_v15_19,N#Cc1cc(NC(=O)C(=O)[O-])c(Cl)c(NC(=O)C(=O)[O-])c1,0
official_v15_20,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
official_v15_21,C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,0
official_v15_22,C[NH2+]C[C@H](O)c1cccc(O)c1,0
official_v15_23,NC(N)=[NH+]C(=O)Cc1c(Cl)cccc1Cl,0
official_v15_24,CCC[NH+](CC)C(CC)C(=O)Nc1c(C)cccc1C,0
official_v15_25,COc1ccc(OC)c(C(O)C(C)[NH3+])c1,0
official_v15_26,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,0
official_v15_27,[NH3+]C[C@H](O)c1ccc(O)c(O)c1,0
official_v15_28,CCC[NH2+]C(C)C(=O)Nc1ccccc1C,0
official_v15_29,[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],0
official_v15_30,[NH3+]CCc1ccc(O)c(O)c1,0
official_v15_31,CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c(CO)c1,0
official_v15_32,CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,0
official_v15_33,CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,0
official_v15_34,Nc1ccc(O)c(C(=O)[O-])c1,0
official_v15_35,Nc1ccc(C(=O)[O-])c(O)c1,0
official_v15_36,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I,0
official_v15_37,CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,0
official_v15_38,C[NH2+]CC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,0
official_v15_39,NC(N)=[NH+]Cc1cccc([131I])c1,0
official_v15_40,CC(C)(C)CC(C)(C)c1ccc(O)cc1,0
official_v15_41,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)[C-](Cl)Cl,0
official_v15_42,O=C([O-])CCC(=O)OC[C@@H](NC(=O)[C-](Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,0
official_v15_43,[NH3+]CC(CC(=O)[O-])c1ccc(Cl)cc1,0
official_v15_44,CC(C)([NH3+])Cc1ccc(Cl)cc1,0
official_v15_45,C[NH2+]C(C)(C)Cc1ccccc1,0
official_v15_46,CC(C)([NH3+])Cc1ccccc1,0
official_v15_47,Nc1ccc(C(=O)NCC(=O)[O-])cc1,0
official_v15_48,CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,0
official_v15_49,CC(C)/[NH+]=C(N)/[NH+]=C(\N)Nc1ccc(Cl)cc1,0
official_v15_50,[NH3+][C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)[O-],0
official_v15_51,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],0
official_v15_52,COCCCOc1cc(C[C@@H](C[C@H]([NH3+])[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0
official_v15_53,NS(=O)(=O)c1ccc(C[NH3+])cc1,0
official_v15_54,O=C([O-])CCCc1ccc(N(CCCl)CCCl)cc1,0
official_v15_55,CC(C)[NH2+]C(C)Cc1ccc([123I])cc1,0
official_v15_56,Nc1ccc(S(N)(=O)=O)cc1,0
official_v15_57,CC(C)[NH2+]CC(O)c1cc(O)cc(O)c1,0
