Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
Br.C/C(=N/NC1=NCCN1)c1cn(C2=NCCN2)nc1C,355.24,354.09,-0.15,90.99,88.64,0.5,0.5084,21,3,8,2,3,1,0,9,133.13,0.353,0.219,4.462,0.0,5,0.2381,0,0,2,0,3,1,2,0,0,600.399,0.0,74381.247,-1.9,15.488,6.703,3.409,0,0
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,444.42,443.02,4.9,56.26,107.73,0.5,0.4685,25,0,6,6,3,2,0,7,166.05,0.451,0.307,12.772,-0.995,9,0.36,0,0,1,1,2,1,1,1,0,743.522,0.0,299829.746,-0.92,20.393,8.184,4.437,2,2
Br.CC(NC1=NCCCCC1)c1ccccc1,297.24,296.09,3.89,24.39,79.08,0.5,0.8797,17,1,2,2,2,1,0,3,114.3,0.367,0.097,4.594,0.0,6,0.3529,0,0,1,0,1,0,1,0,0,348.5,0.0,7067.639,-0.83,14.232,7.487,4.504,1,1
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,388.31,386.96,3.63,56.26,89.4,0.3571,0.5915,21,0,6,4,3,2,0,7,140.59,0.451,0.306,12.18,-0.944,9,0.4286,0,0,1,1,2,1,1,1,0,654.664,0.0,54725.535,-0.92,16.451,6.457,3.465,1,1
Br.CCCCCCN1Cc2ccccc2C1,284.24,283.09,4.16,3.24,75.02,0.5714,0.7338,16,0,1,5,2,1,0,2,109.62,0.295,0.024,2.57,0.0,6,0.375,0,0,1,0,1,0,1,0,0,286.359,0.0,4653.541,-0.34,13.724,7.077,3.6,0,0
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,492.26,489.9,5.35,44.12,109.28,0.25,0.3441,24,0,6,6,3,3,0,8,167.05,0.494,0.183,12.209,0.0,14,0.5833,0,0,0,0,2,2,0,0,0,861.005,0.0,239034.346,-0.83,19.494,8.51,4.221,0,0
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,425.37,424.14,3.15,77.09,109.06,0.55,0.8167,26,1,4,4,5,2,0,6,165.0,0.497,0.119,11.178,-0.469,10,0.3846,0,0,3,3,4,1,3,3,0,742.068,0.0,512499.659,-1.21,21.094,8.652,3.605,5,1
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,397.32,396.12,2.16,63.25,98.41,0.5294,0.787,24,1,6,5,3,2,0,7,151.84,0.468,0.325,11.648,-0.331,9,0.375,0,0,1,1,2,1,1,1,0,746.619,0.0,254647.863,-1.6,18.735,8.484,3.895,0,0
Br.COCC(C)NCc1cccc(C)c1,274.2,273.07,2.7,21.26,69.68,0.5,0.891,15,1,2,5,1,1,0,3,102.8,0.383,0.061,5.053,0.0,6,0.4,0,0,0,0,0,0,0,0,0,278.08,0.0,1406.813,-0.38,14.62,7.853,5.923,1,1
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,408.3,407.01,4.44,45.98,103.45,0.0588,0.7645,24,1,5,3,3,2,0,7,153.84,0.497,0.21,12.836,-0.264,12,0.5,0,0,1,0,1,0,1,0,0,773.428,0.0,247931.677,-2.12,18.222,8.654,4.688,0,0
