task,split,input_rows,parse_failures,salt_stripped,rows_after_strip,conflict_rows_removed,conflict_smiles_total,within_split_duplicates_removed,final_rows,cross_split_duplicates_with_train_removed,cross_split_duplicates_with_val_removed
AMES,train,5094,0,0,5094,0,0,13,5081,,
AMES,val,727,0,0,727,0,0,6,721,0.0,
AMES,test,1457,0,0,1457,0,0,4,1453,0.0,0.0
BBB_Martins,train,1421,0,78,1421,14,11,38,1369,,
BBB_Martins,val,203,0,12,203,4,11,4,195,0.0,
BBB_Martins,test,406,0,15,406,4,11,10,391,1.0,0.0
Bioavailability_Ma,train,448,0,1,448,0,0,0,448,,
Bioavailability_Ma,val,64,0,0,64,0,0,0,64,0.0,
Bioavailability_Ma,test,128,0,0,128,0,0,0,128,0.0,0.0
CYP1A2_Veith,train,8805,0,394,8805,2,2,17,8786,,
CYP1A2_Veith,val,1257,0,63,1257,0,2,3,1251,3.0,
CYP1A2_Veith,test,2517,0,85,2517,2,2,0,2514,1.0,0.0
CYP2C19_Veith,train,8865,0,381,8865,11,6,21,8833,,
CYP2C19_Veith,val,1266,0,36,1266,0,6,2,1264,0.0,
CYP2C19_Veith,test,2534,0,104,2534,1,6,6,2526,1.0,0.0
CYP2C9_Substrate_CarbonMangels,train,468,0,0,468,0,0,3,465,,
CYP2C9_Substrate_CarbonMangels,val,66,0,0,66,0,0,0,66,0.0,
CYP2C9_Substrate_CarbonMangels,test,135,0,0,135,0,0,0,135,0.0,0.0
CYP2C9_Veith,train,8464,0,372,8464,12,6,18,8434,,
CYP2C9_Veith,val,1209,0,60,1209,3,6,2,1203,1.0,
CYP2C9_Veith,test,2419,0,106,2419,0,6,6,2410,3.0,0.0
CYP2D6_Substrate_CarbonMangels,train,466,0,0,466,0,1,2,464,,
CYP2D6_Substrate_CarbonMangels,val,66,0,0,66,0,1,0,66,0.0,
CYP2D6_Substrate_CarbonMangels,test,135,0,0,135,2,1,0,133,0.0,0.0
CYP2D6_Veith,train,9191,0,377,9191,8,4,25,9158,,
CYP2D6_Veith,val,1313,0,39,1313,0,4,0,1313,0.0,
CYP2D6_Veith,test,2626,0,133,2626,0,4,6,2618,1.0,1.0
CYP3A4_Substrate_CarbonMangels,train,468,0,0,468,0,0,2,466,,
CYP3A4_Substrate_CarbonMangels,val,67,0,0,67,0,0,0,67,0.0,
CYP3A4_Substrate_CarbonMangels,test,135,0,0,135,0,0,1,134,0.0,0.0
CYP3A4_Veith,train,8629,0,386,8629,2,1,19,8608,,
CYP3A4_Veith,val,1232,0,64,1232,0,1,3,1229,0.0,
CYP3A4_Veith,test,2467,0,99,2467,0,1,4,2462,1.0,0.0
Carcinogens_Lagunin,train,196,0,1,196,2,2,0,194,,
Carcinogens_Lagunin,val,28,0,0,28,0,2,0,28,0.0,
Carcinogens_Lagunin,test,56,0,0,56,2,2,0,54,0.0,0.0
ClinTox,train,1034,0,10,1034,26,20,2,1006,,
ClinTox,val,147,0,3,147,6,20,2,139,0.0,
ClinTox,test,297,0,1,297,10,20,1,286,0.0,0.0
DILI,train,332,0,10,332,0,0,1,331,,
DILI,val,47,0,2,47,0,0,0,47,0.0,
DILI,test,96,0,6,96,0,0,0,96,0.0,0.0
HIA_Hou,train,404,0,0,404,0,0,0,404,,
HIA_Hou,val,57,0,0,57,0,0,0,57,0.0,
HIA_Hou,test,117,0,0,117,0,0,0,117,0.0,0.0
HIV,train,28783,0,2157,28783,31,17,80,28672,,
HIV,val,4112,0,349,4112,3,17,21,4081,7.0,
HIV,test,8225,0,580,8225,5,17,30,8182,6.0,2.0
PAMPA_NCATS,train,1423,0,11,1423,0,0,0,1423,,
PAMPA_NCATS,val,203,0,2,203,0,0,0,203,0.0,
PAMPA_NCATS,test,408,0,2,408,0,0,0,408,0.0,0.0
Pgp_Broccatelli,train,852,0,0,852,0,0,6,846,,
Pgp_Broccatelli,val,121,0,0,121,0,0,0,121,0.0,
Pgp_Broccatelli,test,245,0,0,245,0,0,0,245,0.0,0.0
SARSCOV2_3CLPro_Diamond,train,616,0,13,616,0,0,1,615,,
SARSCOV2_3CLPro_Diamond,val,88,0,2,88,0,0,0,88,0.0,
SARSCOV2_3CLPro_Diamond,test,176,0,0,176,0,0,0,176,0.0,0.0
SARSCoV2_Vitro_Touret,train,1038,0,428,1038,2,1,4,1032,,
SARSCoV2_Vitro_Touret,val,148,0,51,148,0,1,0,148,0.0,
SARSCoV2_Vitro_Touret,test,298,0,107,298,0,1,1,297,0.0,0.0
Skin_Reaction,train,282,0,0,282,0,0,0,282,,
Skin_Reaction,val,40,0,0,40,0,0,0,40,0.0,
Skin_Reaction,test,82,0,0,82,0,0,0,82,0.0,0.0
Tox21,train,54499,0,1367,54499,17388,2815,32368,4743,,
Tox21,val,7781,0,304,7781,3291,2815,2512,80,1898.0,
Tox21,test,15584,0,663,15584,6700,2815,6528,70,2236.0,50.0
hERG,train,458,0,9,458,0,3,6,452,,
hERG,val,65,0,1,65,0,3,1,64,0.0,
hERG,test,132,0,2,132,6,3,2,123,1.0,0.0
hERG_Karim,train,9411,0,217,9411,10,6,103,9298,,
hERG_Karim,val,1344,0,20,1344,0,6,16,1327,1.0,
hERG_Karim,test,2690,0,64,2690,2,6,43,2643,2.0,0.0
herg_central,train,214825,0,8438,214825,12,8,94,214719,,
herg_central,val,30689,0,1066,30689,2,8,15,30672,0.0,
herg_central,test,61379,0,2450,61379,2,8,37,61339,1.0,0.0
