Drug_ID,Drug,Y
official_v15_1,CC(C)Nc1cccnc1N1CCN(C(=O)C2=CC3=C[C@H](NS(C)(=O)=O)C=CC3=N2)CC1,0
official_v15_2,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@H](CN12)[C@H]34,0
official_v15_3,O=C(c1ccc(OCC[NH+]2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0
official_v15_4,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1,1
official_v15_5,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,1
official_v15_6,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1
official_v15_7,C[NH+](C)CCC1C=Nc2ccc(Cn3cncn3)cc21,0
official_v15_8,[NH3+]CCCC[C@H]([NH2+][C@H](CCc1ccccc1)C(=O)[O-])C(=O)N1CCC[C@H]1C(=O)[O-],0
official_v15_9,NCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
official_v15_10,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
official_v15_11,C[NH2+]CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,1
official_v15_12,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1
official_v15_13,Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C,0
official_v15_14,CCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,1
official_v15_15,CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,1
official_v15_16,O[C@H](CNC[C@@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,1
official_v15_17,COc1ccc(CN(CC[NH+](C)C)c2ccccn2)cc1,1
official_v15_18,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1
official_v15_19,C[NH2+]CCC=C1c2ccccc2CCc2ccccc21,1
official_v15_20,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,1
official_v15_21,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,1
official_v15_22,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1
official_v15_23,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,1
official_v15_24,Clc1ccc(C(c2ccc(Cl)cc2)n2cc[n+](C[C@H](OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1,1
official_v15_25,NC(N)=[NH+]c1nc(CSCC/C(N)=[NH+]/S(N)(=O)=O)cs1,1
official_v15_26,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0
official_v15_27,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,0
official_v15_28,CC(=O)N1CCN(Cc2ccc3c(c2)CC[C@H](N2CCN(CCc4ccc(F)cc4)CC2=O)C3)CC1,1
official_v15_29,CS(=O)(=O)N1CCN(Cc2ccc3c(c2)CC[C@H](N2CCN(CCc4ccc(F)cc4)CC2=O)C3)CC1,1
official_v15_30,O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,1
official_v15_31,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)c1ccccc1)[NH+]2C,1
official_v15_32,C[NH+]1[C@H]2CC[C@@H]1[C@@H](C(=O)[O-])[C@H](OC(=O)c1ccccc1)C2,0
official_v15_33,CCOC(=O)[C@@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,1
official_v15_34,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,1
official_v15_35,CCCN[C@@H](C)C(=O)Nc1c(C)csc1C(=O)OC,0
official_v15_36,N#Cc1ccc(Cn2cncc2CC[NH2+][C@H]2CCN(c3ccccc3)C2=O)cc1,1
official_v15_37,CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,1
official_v15_38,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
official_v15_39,C[NH+](C)CCCN1c2ccccc2CCc2ccccc21,1
official_v15_40,CN(C)CCCN1c2ccccc2CCc2ccccc21,1
official_v15_41,C[NH2+]CCCN1c2ccccc2CCc2ccccc21,1
official_v15_42,O=C1NC[C@@H](c2ccc(F)cc2)C12CCN(C1(c3ccc(F)cc3)CCCCC1)CC2,1
official_v15_43,CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,1
official_v15_44,COc1ccccc1OCC[NH2+]C[C@@H](O)COC1=CC=CC2=Nc3ccccc3[C@@H]12,1
official_v15_45,CC[C@](COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)[NH+](C)C,0
official_v15_46,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CC[NH+](CC)CC4)ccc3OCC)[nH]n12,1
official_v15_47,CN(C(=O)Cc1ccc(CNS(C)(=O)=O)cc1)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1,1
official_v15_48,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCCCC(=O)O[C@@H]2CN3CCC2CC3)C[C@@H]1OC,1
official_v15_49,N[C@H](Cc1nn[nH]n1)C(=O)O,0
official_v15_50,NC(=O)C[C@@H](N)c1nn[nH]n1,0
official_v15_51,C[NH+]1CC[NH+]([C@@H]2c3ccccc3Nc3ccc(Cl)cc3N2O)CC1,0
official_v15_52,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCNCC1,1
official_v15_53,CC(C)(C)OC(=O)N1CC[C@@H]2C[NH+](C[C@@H](O)COc3ccc(C#N)cc3)C[C@@H](C1)O2,1
official_v15_54,COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC,1
official_v15_55,C[C@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,1
official_v15_56,O[C@@H](CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1
official_v15_57,CC(C)CN1C[C@@H]2CN(C(C)C)C[C@H](C1)C21CCCCC1,0
official_v15_58,C/C=C1\N(C)[C@H](C)CC1(c1ccccc1)c1ccccc1,0
official_v15_59,Nc1ccncc1,0
official_v15_60,Cc1ncc(CO)c(CO)c1O,0
official_v15_61,CCc1cc(C(N)=S)ccn1,0
official_v15_62,O[C@](CC[NH+]1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2,0
official_v15_63,COc1cc2nc(N3CCN(C(=O)[C@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC,1
official_v15_64,Nc1c2c(nc3ccccc13)CCCC2,0
official_v15_65,CC[C@H]1OC(=O)[C@@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H]([NH+](C)C)[C@@H]2O)[C@@](C)(O)C[C@@H](C)[C@H]([NH3+])[C@H](C)[C@@H](O)[C@]1(C)O,0
official_v15_66,Fc1ccc2c([C@@H]3C[NH2+]CC[C@@H]3F)c(C3=CNC=CC3)[nH]c2c1,1
official_v15_67,COc1ccc(C(C[NH+](C)C)C2(O)CCCCC2)cc1,1
official_v15_68,CN(C)C[C@@H](c1ccc(O)cc1)C1(O)CCCCC1,1
official_v15_69,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0
official_v15_70,CC[NH+](CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,1
official_v15_71,CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1
official_v15_72,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,0
official_v15_73,C[C@H](Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1,1
official_v15_74,CC(Cc1ccccc1)[NH2+]CCC(c1ccccc1)c1ccccc1,1
official_v15_75,O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCC[NH2+]1,1
