Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
C#CCN(C)Cc1ccccc1,159.23,159.1,1.75,3.24,51.61,0.2727,0.6073,12,0,1,3,1,1,0,1,74.02,0.291,0.06,5.191,0.703,6,0.5,0,0,0,0,0,0,0,0,0,258.083,2.481,585.385,-1.26,8.833,4.584,2.773,0,0
C#CCN(C)[C@@H](C)Cc1ccccc1,187.29,187.14,2.18,3.24,61.07,0.3846,0.653,14,0,1,4,1,1,0,1,86.75,0.292,0.06,5.269,0.494,6,0.4286,0,0,0,0,0,0,0,0,0,296.762,2.492,1518.172,-1.26,10.818,5.466,3.238,1,0
C#CC[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,310.44,310.19,4.09,34.14,89.49,0.7143,0.6836,23,0,2,1,4,0,0,2,138.65,0.299,0.155,12.448,-0.079,0,0.0,0,0,4,3,0,0,0,0,0,636.717,1.743,241570.676,-1.36,15.184,5.067,1.95,5,0
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,310.44,310.19,3.66,37.3,90.4,0.6667,0.5927,23,1,2,1,4,0,0,2,138.59,0.373,0.155,11.739,-1.073,0,0.0,0,0,4,2,0,0,0,0,0,636.717,1.686,264546.994,-1.33,15.213,5.082,1.894,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,324.46,324.21,4.05,37.3,95.02,0.6818,0.5835,24,1,2,1,4,0,0,2,144.96,0.377,0.155,11.809,-0.973,0,0.0,0,0,4,3,0,0,0,0,0,665.948,1.739,379158.588,-1.33,16.155,5.332,1.912,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,298.43,298.19,3.49,37.3,85.88,0.75,0.6951,22,1,2,0,4,0,0,2,132.92,0.377,0.155,11.704,-0.902,0,0.0,0,0,4,3,0,0,0,0,0,583.005,1.652,148000.491,-1.07,14.518,4.712,1.752,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,312.45,312.21,3.88,37.3,90.49,0.7619,0.7461,23,1,2,1,4,0,0,2,139.28,0.377,0.155,11.75,-0.893,0,0.0,0,0,4,3,0,0,0,0,0,597.453,1.671,264546.994,-1.07,15.457,5.214,1.956,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,310.48,310.23,4.87,20.23,94.63,0.7273,0.541,23,1,1,1,4,0,0,1,140.79,0.377,0.131,11.198,-0.914,0,0.0,0,0,4,3,0,0,0,0,0,593.584,1.745,269954.99,-1.0,15.523,5.25,1.91,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,337.46,337.2,4.22,46.26,96.35,0.6818,0.721,25,1,3,0,5,1,0,3,149.41,0.377,0.162,11.076,-0.909,5,0.2,0,0,4,3,1,1,0,0,0,801.194,1.532,860454.815,-1.53,15.704,4.796,1.793,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,296.41,296.18,3.61,40.46,86.51,0.6,0.718,22,2,2,0,4,1,0,2,132.11,0.508,0.13,10.907,-0.919,6,0.2727,0,0,3,2,0,0,0,0,0,658.161,1.722,148000.491,-1.46,14.153,4.522,1.664,5,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,310.44,310.19,3.92,29.46,91.39,0.619,0.7968,23,1,2,1,4,1,0,2,138.8,0.497,0.13,10.956,-0.9,6,0.2609,0,0,3,2,0,0,0,0,0,672.909,1.696,259558.325,-1.46,15.09,5.016,1.926,5,0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,368.52,368.23,5.11,6.48,118.22,0.2308,0.5967,28,0,2,6,4,3,0,2,168.29,0.297,0.06,2.627,0.337,18,0.6429,0,0,1,1,1,0,1,1,0,811.209,1.399,4689493.166,-2.68,18.673,9.496,4.776,0,0
C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1214.65,1213.84,3.72,275.64,331.99,0.7778,0.135,86,4,12,15,1,0,0,23,514.13,0.343,0.251,15.153,-1.816,0,0.0,0,0,1,1,1,0,1,1,11,2407.128,4.37,2.5854776102436966e+17,-6.42,77.593,34.799,21.467,11,0
C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,277.5,277.28,5.3,12.03,86.9,1.0,0.7354,20,1,1,4,3,0,0,1,125.84,0.314,0.007,3.828,0.859,0,0.0,0,0,3,3,1,0,1,1,0,238.94,1.608,71858.113,-0.04,14.879,7.823,3.995,1,0
C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1,234.39,234.21,2.35,6.48,70.02,1.0,0.6346,17,0,2,0,4,0,0,2,105.34,0.3,0.014,2.869,0.961,0,0.0,0,0,4,4,4,0,4,4,0,262.646,1.561,18323.965,-0.08,10.807,4.237,1.755,4,0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,348.49,348.21,6.1,37.3,108.0,0.375,0.727,26,1,1,3,3,2,0,2,156.13,0.478,0.335,11.077,-0.906,12,0.4615,0,0,1,0,0,0,0,0,0,883.172,2.086,449754.418,-2.35,18.441,6.12,3.091,0,0
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,384.65,384.34,7.62,20.23,121.19,0.7778,0.4991,28,1,1,6,3,0,0,1,173.94,0.393,0.058,10.024,-0.172,0,0.0,0,0,3,3,0,0,0,0,0,609.752,1.696,1818820.023,-0.82,21.879,9.33,4.835,5,0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,296.41,296.18,4.03,34.14,86.15,0.6,0.6761,22,0,2,0,4,0,0,2,131.9,0.299,0.178,12.399,-0.104,0,0.0,0,0,4,3,0,0,0,0,0,652.618,1.776,125355.962,-1.44,14.171,4.305,1.613,5,0
