Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,312.45,312.21,3.88,37.3,90.49,0.7619,0.7461,23,1,2,1,4,0,0,2,139.28,0.377,0.155,11.75,-0.893,0,0.0,0,0,4,3,0,0,0,0,0,597.453,1.671,264546.994,-1.07,15.457,5.214,1.956,6,6
C#CCN(C)[C@H](C)Cc1ccccc1,187.29,187.14,2.18,3.24,61.07,0.3846,0.653,14,0,1,4,1,1,0,1,86.75,0.292,0.06,5.269,0.494,6,0.4286,0,0,0,0,0,0,0,0,0,296.762,2.492,1518.172,-1.26,10.818,5.466,3.238,1,0
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,310.44,310.19,3.66,37.3,90.4,0.6667,0.5927,23,1,2,1,4,0,0,2,138.59,0.373,0.155,11.739,-1.073,0,0.0,0,0,4,2,0,0,0,0,0,636.717,1.686,264546.994,-1.33,15.213,5.082,1.894,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,312.45,312.21,3.88,37.3,90.49,0.7619,0.7461,23,1,2,1,4,0,0,2,139.28,0.377,0.155,11.75,-0.893,0,0.0,0,0,4,3,0,0,0,0,0,597.453,1.671,264546.994,-1.07,15.457,5.214,1.956,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,310.48,310.23,4.87,20.23,94.63,0.7273,0.541,23,1,1,1,4,0,0,1,140.79,0.377,0.131,11.198,-0.914,0,0.0,0,0,4,3,0,0,0,0,0,593.584,1.745,269954.99,-1.0,15.523,5.25,1.91,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,284.44,284.21,4.31,20.23,85.49,0.8,0.5188,21,1,1,0,4,0,0,1,128.75,0.377,0.13,10.93,-0.842,0,0.0,0,0,4,3,0,0,0,0,0,512.422,1.656,105497.871,-0.74,13.891,4.626,1.75,6,0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,326.44,326.19,3.24,49.69,92.69,0.619,0.7791,24,2,3,1,4,1,0,3,143.59,0.508,0.13,11.065,-1.019,6,0.25,0,0,3,2,0,0,0,0,0,705.526,1.795,367381.856,-1.5,15.995,5.246,1.933,6,0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.44,393.17,3.41,74.73,111.94,0.2727,0.4179,29,1,7,10,3,3,0,7,169.53,0.487,0.163,5.857,0.392,16,0.5517,0,0,0,0,1,1,0,0,0,1001.004,1.957,4235838.813,-3.34,20.396,10.272,5.348,0,0
C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O,416.65,416.33,5.7,60.69,124.04,0.7778,0.52,30,3,3,6,3,0,0,3,183.52,0.393,0.081,10.127,-0.615,0,0.0,0,0,3,3,0,0,0,0,0,682.712,1.701,3363116.531,-0.9,23.757,9.303,5.285,6,0
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,339.44,339.18,2.51,52.93,93.93,0.619,0.8132,25,2,4,2,6,1,0,4,147.65,0.504,0.166,12.08,-0.78,6,0.24,0,0,5,3,2,0,2,1,0,800.576,1.579,1400624.064,-1.52,14.629,4.413,1.571,4,0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,296.41,296.18,4.03,34.14,86.15,0.6,0.6761,22,0,2,0,4,0,0,2,131.9,0.299,0.178,12.399,-0.104,0,0.0,0,0,4,3,0,0,0,0,0,652.618,1.776,125355.962,-1.44,14.171,4.305,1.613,5,0
C=CC(N)CCC(=O)O,129.16,129.08,0.36,63.32,35.04,0.5,0.5387,9,2,2,4,0,0,0,3,54.17,0.481,0.303,9.93,-0.813,0,0.0,0,0,0,0,0,0,0,0,0,111.625,3.265,78.513,-0.83,8.17,4.089,5.034,1,1
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,395.42,395.04,-0.17,158.21,94.73,0.2143,0.2314,26,4,9,5,3,1,0,12,154.61,0.477,0.352,12.39,-1.237,5,0.1923,0,0,2,1,3,1,2,1,2,876.833,1.781,680003.203,-2.86,17.947,6.802,2.82,2,0
C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,453.46,453.04,-0.54,184.51,106.53,0.25,0.2262,30,4,10,8,3,1,0,14,176.61,0.479,0.352,12.718,-1.3,5,0.1667,0,0,2,1,3,1,2,1,2,1001.862,1.794,4078187.343,-3.39,21.322,8.543,3.994,2,0
C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,315.38,315.17,1.35,83.14,87.57,0.4375,0.7862,23,2,5,6,3,2,0,7,134.24,0.496,0.255,12.523,-0.155,9,0.3913,0,0,1,1,2,1,1,1,1,711.559,1.712,295198.678,-2.41,15.484,6.784,3.19,1,1
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,327.38,327.15,1.3,70.0,87.27,0.5263,0.8015,24,2,5,2,5,1,0,5,140.09,0.504,0.174,12.633,-1.001,6,0.25,0,0,4,2,2,0,2,1,0,774.875,1.797,500717.306,-1.85,14.489,4.406,1.381,4,0
C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,451.62,451.29,3.19,71.68,132.37,0.5385,0.6049,33,2,4,8,4,2,0,7,196.34,0.361,0.324,13.745,-0.28,9,0.2727,0,0,2,1,2,1,1,1,3,1013.276,1.615,32157664.399,-2.64,23.516,10.097,4.703,3,0
C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,477.56,477.25,4.26,69.21,135.63,0.2692,0.4231,35,2,7,10,4,3,0,9,203.78,0.351,0.232,13.597,-0.284,18,0.5143,0,0,1,1,2,1,1,1,0,1051.692,1.542,91127310.582,-3.85,24.28,11.524,6.185,0,0
C=CCOc1ccccc1OCC(O)CNC(C)C,265.35,265.17,1.99,50.72,76.77,0.4667,0.6705,19,2,4,9,1,1,0,4,114.6,0.487,0.161,9.782,-0.546,6,0.3158,0,0,0,0,0,0,0,0,0,379.408,2.449,16163.435,-1.52,15.537,8.559,6.268,1,1
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,804.03,803.48,4.64,178.36,212.59,0.7727,0.185,57,3,12,7,4,0,0,13,338.7,0.456,0.329,14.305,-2.51,0,0.0,0,0,4,3,3,0,3,2,1,1478.296,1.778,1192347300534.843,-2.78,46.904,20.955,11.287,14,0
