SMILES,covered_by_medex,fact_count
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,True,4995
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,True,1368
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,True,1802
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,True,1421
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,True,2007
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,True,139
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,True,481
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,True,600
Nc1ncnc2c1ncn2CCOCP(=O)(O)O,True,696
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,False,0
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1,True,69
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,True,600
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,True,472
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,True,579
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,True,2101
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,True,321
NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,True,4
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,True,398
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,True,678
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,True,32
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,True,9801
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,True,1293
OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@H]1O,True,5
Cc1ncsc1CCCl,True,90
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,True,1239
N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1ccc(O)cc1,True,8
Cn1nnc2c(C(N)=O)ncn2c1=O,True,3578
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,True,14
COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,True,215
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,True,1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,True,2027
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,True,8650
CNC[C@H](O)c1cccc(O)c1,True,3112
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,True,3984
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,True,1335
CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,True,191
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,False,0
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,True,151
CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,True,614
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,True,4007
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,True,617
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,True,1290
Nc1cc(-c2ccncc2)c[nH]c1=O,True,252
