Drug,IUPAC_Name,MolecularFormula
C#CC(C)(O)CC,3-methylpent-1-yn-3-ol,C6H10O
BrC(Br)Br,bromoform,CHBr3
C#CC(O)(/C=C/Cl)CC,(E)-1-chloro-3-ethylpent-1-en-4-yn-3-ol,C7H9ClO
C#CC(OC(N)=O)c1ccccc1,1-phenylprop-2-ynyl carbamate,C10H9NO2
C#CC1(OC(N)=O)CCCCC1,(1-ethynylcyclohexyl) carbamate,C9H13NO2
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,1-(1-ethynylcyclohexyl)oxy-3-[4-(4-fluorophenyl)piperazin-1-yl]propan-2-ol,C21H29FN2O2
C#CCC1(OC(N)=O)CCCCC1,(1-prop-2-ynylcyclohexyl) carbamate,C10H15NO2
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,"3-(2,4-dichlorophenoxy)-N-methyl-N-prop-2-ynylpropan-1-amine",C13H15Cl2NO
C#CCN(C)Cc1ccccc1,N-benzyl-N-methylprop-2-yn-1-amine,C11H13N
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,"7-chloro-5-phenyl-1-prop-2-ynyl-3H-1,4-benzodiazepin-2-one",C18H13ClN2O
C#CCN(C)[C@H](C)Cc1ccccc1,(2R)-N-methyl-1-phenyl-N-prop-2-ynylpropan-2-amine,C13H17N
C#CCN[C@@H]1CCc2ccccc21,"(1R)-N-prop-2-ynyl-2,3-dihydro-1H-inden-1-amine",C12H13N
C#C[C@]1(O)CC[C@H]2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C,"(1S,14S,17R)-17-ethynyl-7-(4-fluorophenyl)-2,18-dimethyl-6,7-diazapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9-trien-17-ol",C28H31FN2O
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,"(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C20H26O2
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,"(8R,9S,13S,14S,17R)-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol",C20H24O2
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",C21H26O2
C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,"(7R,8R,9S,13S,14S,17R)-17-ethynyl-17-hydroxy-7,13-dimethyl-1,2,4,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C21H28O2
C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(E)-5-hydroxy-3-(oxolan-2-ylmethyldisulfanyl)pent-2-en-2-yl]formamide,C17H26N4O3S2
C/C(=C(/CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,[(E)-4-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-3-[[(E)-2-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-5-benzoyloxypent-2-en-3-yl]disulfanyl]pent-3-enyl] benzoate,C38H42N8O6S2
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,[(Z)-4-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-3-benzoylsulfanylpent-3-enyl] benzoate,C26H26N4O4S
C/C(=C(\CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,S-[(Z)-2-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-5-phosphonooxypent-2-en-3-yl] benzenecarbothioate,C19H23N4O6PS
C/C(=C1/CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,"N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(1E)-1-(2-oxo-1,3-oxathian-4-ylidene)ethyl]formamide",C13H16N4O3S
C/C(=C/CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,"8-[(Z)-4-(4-fluorophenyl)pent-3-enyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",C24H28FN3O
C/C=C(\CC)C(=O)NC(N)=O,(E)-N-carbamoyl-2-ethylbut-2-enamide,C7H12N2O2
C/C=C/C(=O)N(CC)C(CC)C(=O)N(C)C,"2-[[(E)-but-2-enoyl]-ethylamino]-N,N-dimethylbutanamide",C12H22N2O2
C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C,"2-[[(E)-but-2-enoyl]-propylamino]-N,N-dimethylbutanamide",C13H24N2O2
C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1.O,"(6R,7R)-7-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-8-oxo-3-[(E)-prop-1-enyl]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid;hydrate",C18H21N3O6S
C/C=C/C=C/C1OC(O)(C(CC)C(=O)NC/C=C/C=C(\C)C(OC)C(C)C2OC(/C=C/C=C/C=C(\C)C(=O)c3c(O)n(C)ccc3=O)C(O)C2O)C(O)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1(C)C,"2-[2,3-dihydroxy-4-[3-hydroxy-5-(4-hydroxy-3,5-dimethoxy-6-methyloxan-2-yl)oxy-4-methoxy-6-methyloxan-2-yl]oxy-5,5-dimethyl-6-[(1E,3E)-penta-1,3-dienyl]oxan-2-yl]-N-[(2E,4E)-7-[3,4-dihydroxy-5-[(1E,3E,5E)-7-(4-hydroxy-1-methyl-2-oxo-3-pyridinyl)-6-methyl-7-oxohepta-1,3,5-trienyl]oxolan-2-yl]-6-methoxy-5-methylocta-2,4-dienyl]butanamide",C59H88N2O20
C/C=C\C1O[C@]2(C(=O)COC(=O)c3ccncc3)CC[C@@]3(O1)[C@@H]1CCC4=CC(=O)CC[C@]4(C)[C@H]1[C@@H](O)C[C@]23C,"[2-[(1R,2R,10R,11S,12S,14S,15R)-12-hydroxy-10,14-dimethyl-7-oxo-17-[(Z)-prop-1-enyl]-16,18-dioxapentacyclo[13.3.2.01,14.02,11.05,10]icos-5-en-15-yl]-2-oxoethyl] pyridine-4-carboxylate",C31H37NO7
C1=C(CC2=NCNC2)CCc2ccccc21,"4-(3,4-dihydronaphthalen-2-ylmethyl)-2,5-dihydro-1H-imidazole",C14H16N2
C1=Cc2cccc(OCC3CNCCO3)c2C1,2-(3H-inden-4-yloxymethyl)morpholine,C14H17NO2
C1CC1,cyclopropane,C3H6
C1CCCCC1,cyclohexane,C6H12
C1CCc2nnnn2CC1,"6,7,8,9-tetrahydro-5H-tetrazolo[1,5-a]azepine",C6H10N4
C=C,ethene,C2H4
C=C(C)CNCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,N-(2-benzoyl-4-chlorophenyl)-N-methyl-2-(2-methylprop-2-enylamino)acetamide,C20H21ClN2O2
C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,"2-[(6R)-3-methyl-6-prop-1-en-2-ylcyclohex-2-en-1-yl]-5-pentylbenzene-1,3-diol",C21H30O2
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,"2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid",C13H12Cl2O4
C=C1CC2C3C=CC4=CC(=O)CCC4(C)C3C(O)CC2(C)[C@@]1(O)C(=O)CO,"(17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-16-methylidene-1,2,8,9,11,12,14,15-octahydrocyclopenta[a]phenanthren-3-one",C22H28O5
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,"11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-16-methylidene-6,7,8,9,11,12,14,15-octahydrocyclopenta[a]phenanthren-3-one",C22H28O5
