Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
BrC(Br)Br,252.73,249.76,2.45,0.0,30.57,1.0,0.5813,4,0,0,0,0,0,0,3,50.34,0.124,0.064,3.104,0.271,0,0.0,0,0,0,0,0,0,0,0,0,8.0,2.324,3.245,1.44,5.44,2.665,9.877,0,0
C#CC(C)(O)CC,98.14,98.07,0.78,20.23,29.75,0.6667,0.4804,7,1,1,1,0,0,0,1,44.36,0.378,0.122,8.896,-0.889,0,0.0,0,0,0,0,0,0,0,0,0,86.843,3.656,26.839,-0.48,6.52,1.994,2.245,1,1
C#CC(O)(/C=C/Cl)CC,144.6,144.03,1.51,20.23,39.07,0.4286,0.583,9,1,1,2,0,0,0,2,60.34,0.374,0.144,9.221,-1.151,0,0.0,0,0,0,0,0,0,0,0,0,145.485,4.141,83.098,-0.45,8.55,3.552,2.55,1,1
C#CC(OC(N)=O)c1ccccc1,175.19,175.06,1.46,52.32,48.68,0.1,0.6915,13,1,2,2,1,1,0,3,76.51,0.428,0.406,10.446,-0.869,6,0.4615,0,0,0,0,0,0,0,0,1,326.528,2.804,912.232,-1.95,9.14,4.17,2.528,1,1
C#CC1(OC(N)=O)CCCCC1,167.21,167.09,1.42,52.32,45.32,0.6667,0.6003,12,1,2,1,1,0,0,3,72.27,0.43,0.406,10.536,-0.769,0,0.0,0,0,1,1,0,0,0,0,1,211.059,2.615,491.628,-1.17,8.922,3.485,1.911,0,0
C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,360.47,360.22,2.66,35.94,101.66,0.619,0.7915,26,1,4,6,3,1,0,5,155.49,0.389,0.128,13.04,-0.528,6,0.2308,0,0,2,2,1,0,1,1,0,599.432,1.409,914596.38,-1.61,19.16,8.855,4.972,1,1
C#CCC1(OC(N)=O)CCCCC1,181.23,181.11,1.81,52.32,49.93,0.7,0.6603,13,1,2,2,1,0,0,3,78.63,0.442,0.405,10.679,-0.711,0,0.0,0,0,1,1,0,0,0,0,1,223.569,2.616,767.466,-1.17,9.915,4.176,2.656,0,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,272.18,271.05,3.33,12.47,72.9,0.3846,0.5815,17,0,2,6,1,1,0,4,112.47,0.492,0.137,5.974,0.537,6,0.3529,0,0,0,0,0,0,0,0,0,400.896,2.292,5628.207,-0.88,14.182,7.447,5.319,0,0
C#CCN(C)Cc1ccccc1,159.23,159.1,1.75,3.24,51.61,0.2727,0.6073,12,0,1,3,1,1,0,1,74.02,0.291,0.06,5.191,0.703,6,0.5,0,0,0,0,0,0,0,0,0,258.083,2.481,585.385,-1.26,8.833,4.584,2.773,0,0
C#CCN(C)[C@H](C)Cc1ccccc1,187.29,187.14,2.18,3.24,61.07,0.3846,0.653,14,0,1,4,1,1,0,1,86.75,0.292,0.06,5.269,0.494,6,0.4286,0,0,0,0,0,0,0,0,0,296.762,2.492,1518.172,-1.26,10.818,5.466,3.238,1,0
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,308.77,308.07,3.16,32.67,89.59,0.1111,0.7844,22,0,2,2,3,2,0,4,133.79,0.299,0.249,12.319,-0.118,12,0.5455,0,0,1,0,1,0,1,0,1,790.48,2.208,137029.652,-2.57,14.371,6.047,2.614,0,0
C#CCN[C@@H]1CCc2ccccc21,171.24,171.1,1.9,12.03,54.34,0.3333,0.67,13,1,1,2,2,1,0,1,79.16,0.299,0.058,5.214,0.479,6,0.4615,0,0,1,0,0,0,0,0,0,335.223,2.148,1777.996,-1.26,8.343,3.636,1.587,1,0
