Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
Br/C=C/Br,185.85,183.85,2.25,0.0,26.99,0.0,0.5435,4,0,0,0,0,0,0,2,42.15,0.059,0.012,3.021,1.729,0,0.0,0,0,0,0,0,0,0,0,0,19.219,2.549,6.855,0.7,4.7,3.7,2.7,0,0
BrC(Br)Br,252.73,249.76,2.45,0.0,30.57,1.0,0.5813,4,0,0,0,0,0,0,3,50.34,0.124,0.064,3.104,0.271,0,0.0,0,0,0,0,0,0,0,0,0,8.0,2.324,3.245,1.44,5.44,2.665,9.877,0,0
BrC(Br)C(Br)(Br)Br,424.55,419.6,3.94,0.0,51.15,1.0,0.517,7,0,0,0,0,0,0,5,84.44,0.157,0.073,3.282,-0.229,0,0.0,0,0,0,0,0,0,0,0,0,51.591,3.541,17.086,2.4,9.4,3.539,4.876,0,0
BrC(Br)C(Br)Br,345.65,341.69,3.22,0.0,43.28,1.0,0.6402,6,0,0,1,0,0,0,4,70.57,0.092,0.074,3.262,0.31,0,0.0,0,0,0,0,0,0,0,0,0,26.529,2.993,13.61,1.92,7.92,3.866,4.089,0,0
BrC/C=C\CBr,213.9,211.88,2.33,0.0,36.73,0.5,0.4883,6,0,0,2,0,0,0,2,54.88,0.088,0.021,3.243,0.957,0,0.0,0,0,0,0,0,0,0,0,0,34.813,2.734,20.986,0.7,6.7,5.7,4.7,0,0
BrCBr,173.83,171.85,1.73,0.0,22.72,1.0,0.4901,3,0,0,0,0,0,0,2,36.47,0.08,0.059,3.062,0.875,0,0.0,0,0,0,0,0,0,0,0,0,2.755,1.633,2.755,0.96,3.96,2.96,2.96,0,0
BrCC(Br)(Br)Br,345.65,341.69,3.22,0.0,43.31,1.0,0.5915,6,0,0,0,0,0,0,4,70.57,0.144,0.089,3.264,-0.104,0,0.0,0,0,0,0,0,0,0,0,0,35.303,3.168,12.165,1.92,7.92,3.048,5.92,0,0
BrCC(Br)C1CCC(Br)C(Br)C1,427.8,423.77,4.47,0.0,69.28,1.0,0.5704,12,0,0,2,1,0,0,4,107.76,0.092,0.027,3.709,0.637,0,0.0,0,0,1,1,0,0,0,0,0,139.02,2.395,497.748,1.92,11.992,5.717,3.248,4,4
BrCC(Br)CBr,280.78,277.79,2.54,0.0,40.3,1.0,0.6822,6,0,0,2,0,0,0,3,63.07,0.092,0.034,3.382,0.581,0,0.0,0,0,0,0,0,0,0,0,0,25.219,2.754,19.8,1.44,7.44,4.595,3.624,0,0
BrCC(Br)c1ccccc1,263.96,261.9,3.52,0.0,51.9,0.25,0.7167,10,0,0,2,1,1,0,2,77.9,0.091,0.049,3.538,0.439,6,0.6,0,0,0,0,0,0,0,0,0,183.709,2.747,237.587,0.18,8.278,4.141,2.097,1,1
BrCC1CO1,136.98,135.95,0.78,12.53,23.53,1.0,0.3839,5,0,1,1,1,0,0,2,39.44,0.372,0.091,4.811,0.551,0,0.0,0,0,1,1,1,0,1,1,0,33.874,1.999,29.693,0.44,3.624,1.267,0.893,1,1
BrCCBr,187.86,185.87,1.78,0.0,27.59,1.0,0.5496,4,0,0,1,0,0,0,2,42.84,0.092,0.013,3.201,1.049,0,0.0,0,0,0,0,0,0,0,0,0,6.0,1.975,6.855,0.96,4.96,3.96,2.96,0,0
BrCCC(Br)Br,280.78,277.79,2.89,0.0,40.05,1.0,0.6826,6,0,0,2,0,0,0,3,63.07,0.093,0.071,3.321,0.476,0,0.0,0,0,0,0,0,0,0,0,0,27.219,2.627,14.834,1.44,7.44,4.595,5.44,0,0
BrCCCBr,201.89,199.88,2.17,0.0,32.2,1.0,0.6014,5,0,0,2,0,0,0,2,49.2,0.093,0.004,3.28,1.109,0,0.0,0,0,0,0,0,0,0,0,0,12.365,2.191,11.245,0.96,5.96,4.96,4.96,0,0
BrCCCCBr,215.92,213.9,2.56,0.0,36.82,1.0,0.5018,6,0,0,3,0,0,0,2,55.57,0.093,0.003,3.33,1.137,0,0.0,0,0,0,0,0,0,0,0,0,17.51,2.339,20.986,0.96,6.96,5.96,4.96,0,0
BrCCCCCBr,229.94,227.91,2.95,0.0,41.44,1.0,0.514,7,0,0,4,0,0,0,2,61.93,0.093,0.003,3.364,1.153,0,0.0,0,0,0,0,0,0,0,0,0,25.261,2.447,35.51,0.96,7.96,6.96,6.96,0,0
BrC[C@@H](Br)[C@@H]1CC[C@@H](Br)[C@@H](Br)C1,427.8,423.77,4.47,0.0,69.28,1.0,0.5704,12,0,0,2,1,0,0,4,107.76,0.092,0.027,3.709,0.637,0,0.0,0,0,1,1,0,0,0,0,0,139.02,2.395,497.748,1.92,11.992,5.717,3.248,4,0
BrC[C@H]1CO1,136.98,135.95,0.78,12.53,23.53,1.0,0.3839,5,0,1,1,1,0,0,2,39.44,0.372,0.091,4.811,0.551,0,0.0,0,0,1,1,1,0,1,1,0,33.874,1.999,29.693,0.44,3.624,1.267,0.893,1,0
BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,369.26,368.02,7.22,0.0,108.98,0.0435,0.163,24,0,0,1,6,6,0,1,147.03,0.088,0.029,3.75,0.875,22,0.9167,0,0,0,0,0,0,0,0,0,1377.32,2.136,890432.183,-2.38,12.972,4.37,1.403,0,0
BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,345.24,344.02,6.63,0.0,100.28,0.0476,0.1816,22,0,0,1,5,5,0,1,136.37,0.088,0.029,3.707,0.877,20,0.9091,0,0,0,0,0,0,0,0,0,1138.598,2.228,271798.108,-2.12,12.427,4.438,1.47,0,0
BrCc1c2ccccc2cc2c1ccc1ccccc12,321.22,320.02,6.04,0.0,91.59,0.0526,0.2277,20,0,0,1,4,4,0,1,125.71,0.088,0.029,3.664,0.878,18,0.9,0,0,0,0,0,0,0,0,0,937.956,2.301,79580.489,-1.86,11.925,4.604,1.665,0,0
BrCc1c2ccccc2cc2ccc3ccccc3c12,321.22,320.02,6.04,0.0,91.59,0.0526,0.2277,20,0,0,1,4,4,0,1,125.71,0.088,0.03,3.685,0.874,18,0.9,0,0,0,0,0,0,0,0,0,937.956,2.326,79195.148,-1.86,11.925,4.604,1.665,0,0
BrCc1c2ccccc2cc2ccccc12,271.16,270.0,4.89,0.0,74.09,0.0667,0.4365,16,0,0,1,3,3,0,1,103.03,0.088,0.029,3.6,0.898,14,0.875,0,0,0,0,0,0,0,0,0,601.704,2.563,8478.269,-1.34,9.856,3.911,1.433,0,0
BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,295.18,294.0,5.38,0.0,81.01,0.0588,0.4134,18,0,0,1,4,3,0,1,114.4,0.088,0.028,3.564,0.905,16,0.8889,0,0,1,0,0,0,0,0,0,771.662,2.224,33546.331,-1.6,10.334,3.694,1.254,0,0
BrCc1ccc(Br)cc1,249.93,247.88,3.34,0.0,46.77,0.1429,0.6702,9,0,0,1,1,1,0,2,71.53,0.088,0.028,3.367,0.931,6,0.6667,0,0,0,0,0,0,0,0,0,178.613,2.882,129.225,0.18,7.289,3.374,2.106,0,0
BrCc1ccc(CBr)cc1,263.96,261.9,3.48,0.0,51.7,0.25,0.7171,10,0,0,2,1,1,0,2,77.9,0.088,0.028,3.392,0.94,6,0.6,0,0,0,0,0,0,0,0,0,167.917,2.797,237.587,0.18,8.278,4.141,2.097,0,0
BrCc1ccc2c(c1)-c1cccc3cccc-2c13,295.18,294.0,5.38,0.0,81.01,0.0588,0.4134,18,0,0,1,4,3,0,1,114.4,0.088,0.028,3.538,0.909,16,0.8889,0,0,1,0,0,0,0,0,0,766.412,2.169,33664.628,-1.6,10.334,3.694,1.254,0,0
BrCc1ccc2c3c(cccc13)-c1ccccc1-2,295.18,294.0,5.38,0.0,81.01,0.0588,0.4134,18,0,0,1,4,3,0,1,114.4,0.088,0.029,3.583,0.906,16,0.8889,0,0,1,0,0,0,0,0,0,742.412,2.235,34551.455,-1.6,10.334,3.694,1.201,0,0
