SMILES,covered_by_medex,fact_count
O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,True,114
Nc1ccc2c(c1)-c1cccc3cccc-2c13,True,3
C=C(C)[C@H]1CC=C(C)[C@@H](OC(C)=O)C1,False,0
c1cc2c(cc1C[C@@H]1CO1)OCO2,False,0
c1cc[nH]c1,True,7470
CC(C)[C@@H]1CC[C@@H](C)CC1=O,True,828
O=[N+]([O-])c1ccc2c3c1ccc1cccc(c13)C(O)C2O,True,9
O=c1c2cccc3ccc4c5ccccc5cc1c4c32,True,4
CCC(CCC(C)=O)COC(=O)CCCCC(=O)O,False,0
CCCC(C)=O,True,935
CN(C)Cc1ccccc1,True,204
C/C=C\c1ccc(O)c(OC)c1,True,33
CCNc1nc(O)nc(NC(C)C)n1,True,37
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,False,0
CN(C)c1ccc(N=Nc2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)cc1,False,0
CC(=O)OC1CC2C(COC(=O)CC(C)C)=COC(OC(=O)CC(C)C)C2C12CO2,True,33
CC(Br)(CCl)CBr,True,11
N=C(Nc1ccccc1)Nc1ccccc1,True,169
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,False,0
c1ccc2[nH]cnc2c1,True,5506
OCC1OC(n2cnc3c(NO)ncnc32)C(O)C1O,False,0
OCCCc1ccccc1,True,220
O=C(Nc1cccc([N+](=O)[O-])c1)c1csc([N+](=O)[O-])c1,False,0
OCc1cc2ccccc2c2ccc3ccccc3c12,True,89
CC(=O)N(C)C,True,2198
[O-][N+]([O-])=C1CCCC1,False,0
Cc1ccc([N+](=O)[O-])cc1N=[N+]([O-])c1cc([N+](=O)[O-])ccc1C,True,9
Cc1ccc2c3c1ccc1cccc(c13)C2,True,1
CC(NC(=O)Cc1cnc(C)nc1N)=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1,False,0
NC(Cc1ccc(F)cc1)C(=O)O,True,141
CC(=O)N/N=C/C1=CN(O)c2ccccc2N1O,False,0
Nc1ccc2c(c1)-c1ccccc1C2,True,21
CS(C)(=O)=O,True,412
S=C=S,True,3069
CCOS(=O)(=O)c1ccccc1,True,42
Cc1c2ccccc2nc2c1ccc1ccccc12,True,47
CC(=O)Nc1ccc(-c2ccc(NC(C)=O)cc2)cc1,True,63
