task,source_split,output_split,num_rows,source_file,output_file
AMES,train,train,5081,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/AMES/AMES_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/AMES/train.csv
AMES,valid,val,721,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/AMES/AMES_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/AMES/val.csv
BBB_Martins,train,train,1369,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/BBB_Martins/BBB_Martins_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/BBB_Martins/train.csv
BBB_Martins,valid,val,195,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/BBB_Martins/BBB_Martins_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/BBB_Martins/val.csv
Bioavailability_Ma,train,train,448,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Bioavailability_Ma/Bioavailability_Ma_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Bioavailability_Ma/train.csv
Bioavailability_Ma,valid,val,64,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Bioavailability_Ma/Bioavailability_Ma_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Bioavailability_Ma/val.csv
CYP2C9_Substrate_CarbonMangels,train,train,465,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP2C9_Substrate_CarbonMangels/CYP2C9_Substrate_CarbonMangels_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP2C9_Substrate_CarbonMangels/train.csv
CYP2C9_Substrate_CarbonMangels,valid,val,66,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP2C9_Substrate_CarbonMangels/CYP2C9_Substrate_CarbonMangels_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP2C9_Substrate_CarbonMangels/val.csv
CYP2D6_Substrate_CarbonMangels,train,train,464,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP2D6_Substrate_CarbonMangels/train.csv
CYP2D6_Substrate_CarbonMangels,valid,val,66,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP2D6_Substrate_CarbonMangels/CYP2D6_Substrate_CarbonMangels_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP2D6_Substrate_CarbonMangels/val.csv
CYP3A4_Substrate_CarbonMangels,train,train,466,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP3A4_Substrate_CarbonMangels/train.csv
CYP3A4_Substrate_CarbonMangels,valid,val,67,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/CYP3A4_Substrate_CarbonMangels/CYP3A4_Substrate_CarbonMangels_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/CYP3A4_Substrate_CarbonMangels/val.csv
Carcinogens_Lagunin,train,train,194,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Carcinogens_Lagunin/Carcinogens_Lagunin_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Carcinogens_Lagunin/train.csv
Carcinogens_Lagunin,valid,val,28,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Carcinogens_Lagunin/Carcinogens_Lagunin_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Carcinogens_Lagunin/val.csv
ClinTox,train,train,1007,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/ClinTox/ClinTox_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/ClinTox/train.csv
ClinTox,valid,val,139,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/ClinTox/ClinTox_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/ClinTox/val.csv
DILI,train,train,332,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/DILI/DILI_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/DILI/train.csv
DILI,valid,val,47,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/DILI/DILI_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/DILI/val.csv
HIA_Hou,train,train,404,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/HIA_Hou/HIA_Hou_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/HIA_Hou/train.csv
HIA_Hou,valid,val,57,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/HIA_Hou/HIA_Hou_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/HIA_Hou/val.csv
PAMPA_NCATS,train,train,1423,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/PAMPA_NCATS/PAMPA_NCATS_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/PAMPA_NCATS/train.csv
PAMPA_NCATS,valid,val,203,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/PAMPA_NCATS/PAMPA_NCATS_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/PAMPA_NCATS/val.csv
Pgp_Broccatelli,train,train,846,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Pgp_Broccatelli/Pgp_Broccatelli_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Pgp_Broccatelli/train.csv
Pgp_Broccatelli,valid,val,121,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Pgp_Broccatelli/Pgp_Broccatelli_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Pgp_Broccatelli/val.csv
SARSCoV2_3CLPro_Diamond,train,train,615,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/SARSCoV2_3CLPro_Diamond/train.csv
SARSCoV2_3CLPro_Diamond,valid,val,88,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/SARSCoV2_3CLPro_Diamond/SARSCoV2_3CLPro_Diamond_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/SARSCoV2_3CLPro_Diamond/val.csv
SARSCoV2_Vitro_Touret,train,train,1032,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/SARSCoV2_Vitro_Touret/SARSCoV2_Vitro_Touret_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/SARSCoV2_Vitro_Touret/train.csv
SARSCoV2_Vitro_Touret,valid,val,148,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/SARSCoV2_Vitro_Touret/SARSCoV2_Vitro_Touret_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/SARSCoV2_Vitro_Touret/val.csv
Skin_Reaction,train,train,282,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Skin_Reaction/Skin_Reaction_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Skin_Reaction/train.csv
Skin_Reaction,valid,val,40,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/Skin_Reaction/Skin_Reaction_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/Skin_Reaction/val.csv
hERG,train,train,452,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/hERG/hERG_train.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/hERG/train.csv
hERG,valid,val,64,/vast/home/j/jojolee/OpenRLHF-Tools/LLM4SD/scaffold_datasets/TDC/hERG/hERG_valid.csv,/vast/home/j/jojolee/OpenRLHF-Tools/data/tdc/official_v15_dataset/hERG/val.csv
