Drug,IUPAC_Name,MolecularFormula
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,"6-(5-bromothiophen-2-yl)-3-pyridin-3-yl-7H-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazine;hydrobromide",C13H9Br2N5S2
Br.C/C(=N/NC1=NCCN1)c1cn(C2=NCCN2)nc1C,"N-[(Z)-1-[1-(4,5-dihydro-1H-imidazol-2-yl)-3-methylpyrazol-4-yl]ethylideneamino]-4,5-dihydro-1H-imidazol-2-amine;hydrobromide",C12H19BrN8
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,"5-[2-(1,3-benzothiazol-2-ylsulfanyl)acetyl]-5-methyl-4-(2-methylpropyl)oxolan-2-one;hydrobromide",C18H22BrNO3S2
Br.CC(NC1=NCCCCC1)c1ccccc1,"N-(1-phenylethyl)-3,4,5,6-tetrahydro-2H-azepin-7-amine;hydrobromide",C14H21BrN2
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,"2-decyl-2-azatricyclo[7.3.0.03,7]dodeca-1(9),3(7)-dien-8-imine;hydrobromide",C21H35BrN2
Br.CCCCCCN1Cc2ccccc2C1,"2-hexyl-1,3-dihydroisoindole;hydrobromide",C14H22BrN
Br.CCCCN1C2=NCCCN2c2ccccc21,"10-butyl-3,4-dihydro-2H-pyrimido[1,2-a]benzimidazole;hydrobromide",C14H20BrN3
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,2-(3-butyl-2-iminobenzimidazol-1-yl)-1-(furan-2-yl)ethanone;hydrobromide,C17H20BrN3O2
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,"(S)-[(2S,4R,5R)-5-ethyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol;hydrate;hydrobromide",C20H29BrN2O3
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,1-(5-bromothiophen-2-yl)-2-(5-ethoxy-1-methylbenzimidazol-2-yl)sulfanylethanone;hydrobromide,C16H16Br2N2O2S2
Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,methyl 2-[2-imino-3-(2-piperidin-1-ylethyl)benzimidazol-1-yl]acetate;hydrobromide,C17H25BrN4O2
Br.COCC(C)NCc1cccc(C)c1,1-methoxy-N-[(3-methylphenyl)methyl]propan-2-amine;hydrobromide,C12H20BrNO
Br.COCCCN1Cc2ccccc2C1=N,2-(3-methoxypropyl)-3H-isoindol-1-imine;hydrobromide,C12H17BrN2O
Br.COc1ccc(C2=CSC(/N=C/c3ccc(F)cc3)=NN2)cc1,"1-(4-fluorophenyl)-N-[5-(4-methoxyphenyl)-4H-1,3,4-thiadiazin-2-yl]methanimine;hydrobromide",C17H15BrFN3OS
Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O,"(1S,9S,10S)-4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene;hydrate;hydrobromide",C18H28BrNO2
Br.COc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,1-(5-bromothiophen-2-yl)-2-(5-methoxy-1-methylbenzimidazol-2-yl)sulfanylethanone;hydrobromide,C15H14Br2N2O2S2
Br.C[N+](C)(C)CCCCCNCC12CC3CC(CC(C3)C1)C2.[Br-],5-(1-adamantylmethylamino)pentyl-trimethylazanium;bromide;hydrobromide,C19H38Br2N2
Br.N=C(N)SCc1nc2ccccc2c(=O)n1-c1ccccc1Cl,[3-(2-chlorophenyl)-4-oxoquinazolin-2-yl]methyl carbamimidothioate;hydrobromide,C16H14BrClN4OS
Br.Cc1ccc(C)c(C(=O)CN2C3=NCCCN3c3ccccc32)c1,"2-(3,4-dihydro-2H-pyrimido[1,2-a]benzimidazol-10-yl)-1-(2,5-dimethylphenyl)ethanone;hydrobromide",C20H22BrN3O
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(Cl)cc1,4-chloro-N-(3-imino-1H-isoindol-2-yl)benzamide;hydrobromide,C15H13BrClN3O
Br.N=C1c2ccccc2CN1NC(=O)c1ccc(F)cc1,4-fluoro-N-(3-imino-1H-isoindol-2-yl)benzamide;hydrobromide,C15H13BrFN3O
Br.N=c1n(CCN2CCOCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,"1-(3,4-dichlorophenyl)-2-[2-imino-3-(2-morpholin-4-ylethyl)benzimidazol-1-yl]ethanone;hydrobromide",C21H23BrCl2N4O2
Br.NCCC1([N+](=O)[O-])CCNCC1,2-(4-nitropiperidin-4-yl)ethanamine;hydrobromide,C7H16BrN3O2
Br/C(=N\Nc1nn[nH]n1)c1ccncc1,(4Z)-N-(2H-tetrazol-5-yl)pyridine-4-carbohydrazonoyl bromide,C7H6BrN7
Brc1[nH]nc2ccccc12,3-bromo-2H-indazole,C7H5BrN2
Brc1ccc(-c2csc(N3CCC(c4ccccc4)C3)n2)cc1,"4-(4-bromophenyl)-2-(3-phenylpyrrolidin-1-yl)-1,3-thiazole",C19H17BrN2S
Brc1ccc(-c2csc(N3CCc4ccccc4C3)n2)cc1,"4-(4-bromophenyl)-2-(3,4-dihydro-1H-isoquinolin-2-yl)-1,3-thiazole",C18H15BrN2S
Brc1ccc(-c2nnc(-c3ccccc3)c(N3CCSCC3)n2)cc1,"4-[3-(4-bromophenyl)-6-phenyl-1,2,4-triazin-5-yl]thiomorpholine",C19H17BrN4S
Brc1ccc(CSc2nccn2-c2ccccc2)cc1,2-[(4-bromophenyl)methylsulfanyl]-1-phenylimidazole,C16H13BrN2S
Brc1ccc(/C=C/C=N/Nc2nc3ccccc3s2)cc1,"N-[(E)-[(E)-3-(4-bromophenyl)prop-2-enylidene]amino]-1,3-benzothiazol-2-amine",C16H12BrN3S
Brc1ccc2cccnc2c1,7-bromoquinoline,C9H6BrN
Brc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,6-bromo-N-naphthalen-1-ylquinazolin-4-amine,C18H12BrN3
Brc1ccccc1OCCOCCOc1cccc2cccnc12,8-[2-[2-(2-bromophenoxy)ethoxy]ethoxy]quinoline,C19H18BrNO3
C#CCCCC(=S)Nc1ccccc1,N-phenylhex-5-ynethioamide,C12H13NS
C#CCCCCCCCCCCCCCCCC(=O)O,octadec-17-ynoic acid,C18H32O2
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-2-tert-butyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C21H30N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-2-cyclohexyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C23H32N2O5
