Drug_ID,Drug,Y,task_label
TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,NR-AR
TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,NR-AR
TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,NR-AR
TOX6612,CC(C)COC(=O)C(C)C,0.0,NR-AR
TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,NR-AR
TOX26529,CCCCCCCCCCOCC(O)CN,0.0,NR-AR
TOX1883,C#CCO,0.0,NR-AR
TOX1885,CC(O)CC(C)(C)O,0.0,NR-AR
TOX1886,CC(C)(C)CC(C)(C)N,0.0,NR-AR
TOX1889,CC(=O)CC(C)C,0.0,NR-AR
TOX1888,CCCC(C)=O,0.0,NR-AR
TOX22187,CCCCNC(=S)NCCCC,0.0,NR-AR
TOX22188,CCCCNC(=O)NCCCC,0.0,NR-AR
TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,NR-AR
TOX27698,CC/C=C\CCCCO,0.0,NR-AR
TOX10138,CC(=O)CCC(C)=O,0.0,NR-AR
TOX21464,N#CCCNCCC#N,0.0,NR-AR
TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0,NR-AR
TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0,NR-AR
TOX24911,CC(C)CCCCCOC(=O)CCS,0.0,NR-AR
TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,NR-AR
TOX9739,F[B-](F)(F)F.[H+],0.0,NR-AR
TOX27158,CCCCCC(C)O,0.0,NR-AR
TOX14836,[I-].[K+],0.0,NR-AR
TOX5391,C/C=C/C=C/C=O,0.0,NR-AR
TOX5395,C[Si](C)(C)N[Si](C)(C)C,0.0,NR-AR
TOX4783,C=CC(=O)OCCCl,0.0,NR-AR
TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0,NR-AR
TOX28635,CCCCC(=O)[O-],0.0,NR-AR
TOX7019,CCCCCCCCCCCCCC(=O)OC,0.0,NR-AR
TOX7014,CCCCCCC(C)O,0.0,NR-AR
TOX22494,CCC[Si](OC)(OC)OC,0.0,NR-AR
TOX3702,NCCNCCNCCN,0.0,NR-AR
TOX4931,CCCCCNCCCCC,0.0,NR-AR
TOX4284,COCC(C)O,0.0,NR-AR
TOX173,ClCOCCl,0.0,NR-AR
TOX179,CC(O)CNCC(C)O,0.0,NR-AR
TOX21803,[Cu]I,0.0,NR-AR
TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0,NR-AR
TOX6867,O=C(O)CCCCCCCCC(=O)O,0.0,NR-AR
TOX6864,CCCCCCCC(=O)OC,0.0,NR-AR
TOX6863,CC(O)COCC(C)O,0.0,NR-AR
TOX22379,CO[Si](C)(C)OC,0.0,NR-AR
TOX1553,CCCCCCCCCC=O,0.0,NR-AR
TOX1557,BrCBr,0.0,NR-AR
TOX1554,CCCCCCCCCC(=O)O,0.0,NR-AR
TOX27484,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0.0,NR-AR
TOX27487,CCCCCCCCCOS(=O)(=O)[O-],0.0,NR-AR
TOX7244,CCC(Cl)CCl,0.0,NR-AR
TOX24615,C=CC(=O)OCCOC(=O)C=C,0.0,NR-AR
TOX24616,CCCC[P+](CCCC)(CCCC)CCCC,0.0,NR-AR
TOX24619,CCCCCCCCNC,0.0,NR-AR
TOX762,CC(C)O,0.0,NR-AR
TOX17072,CCCC(CCC)C(=O)[O-],0.0,NR-AR
TOX27875,CC(C)C[P+](C)(CC(C)C)CC(C)C,0.0,NR-AR
TOX27876,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.0,NR-AR
TOX6261,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0.0,NR-AR
TOX5079,CC(C)CNCC(C)C,0.0,NR-AR
TOX545,NC(=S)NNC(N)=S,0.0,NR-AR
TOX546,NC(=S)C(N)=S,0.0,NR-AR
TOX813,C[Hg]Cl,0.0,NR-AR
TOX811,[Hg+2],0.0,NR-AR
TOX548,CCCCCCCCCCCCNC(=N)N,0.0,NR-AR
TOX29082,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,0.0,NR-AR
TOX14816,CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.0,NR-AR
TOX27670,CC=CC(=O)CC,0.0,NR-AR
TOX5948,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],0.0,NR-AR
TOX9710,O=P(Cl)(Cl)Cl,0.0,NR-AR
TOX1761,CC(N)CN,0.0,NR-AR
TOX1762,CCC(C)O,0.0,NR-AR
TOX25881,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,0.0,NR-AR
TOX1764,CC(O)CN,0.0,NR-AR
TOX20540,COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],0.0,NR-AR
TOX24935,CC(=O)O[Cr](O)OC(C)=O.CC(=O)O[Cr](O)OC(C)=O.CC(=O)O[Cr](OC(C)=O)OC(C)=O,0.0,NR-AR
TOX24931,C=C(C)C(=O)OCCNC(C)(C)C,0.0,NR-AR
TOX25084,O=C(O)[C@@H](S)[C@H](S)C(=O)O,0.0,NR-AR
TOX24728,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,NR-AR
TOX7032,CC(C)(N)CO,0.0,NR-AR
TOX7036,CC(C)(CO)CO,0.0,NR-AR
TOX7034,O=[N+]([O-])C(CO)(CO)CO,0.0,NR-AR
TOX7039,OCC(CO)(CO)COCC(CO)(CO)CO,0.0,NR-AR
TOX3722,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],0.0,NR-AR
TOX3723,NC(CO)(CO)CO,0.0,NR-AR
TOX24428,CO[Si](CCCS)(OC)OC,0.0,NR-AR
TOX24423,C[N+](C)=CCl,0.0,NR-AR
TOX24425,COC(=O)CCC(=O)O,0.0,NR-AR
TOX29361,O=[Zr](Cl)Cl,0.0,NR-AR
TOX3270,CN(C)C(=N)NC(=N)N,0.0,NR-AR
TOX419,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,0.0,NR-AR
TOX21550,CC(C)=CCC[C@H](C)CCO,0.0,NR-AR
TOX6802,CC(C)CC(O)CC(C)C,0.0,NR-AR
TOX24916,C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0.0,NR-AR
TOX11492,C=C(C)OC(C)=O,0.0,NR-AR
TOX24910,CC(O)C#CC(C)O,0.0,NR-AR
TOX4097,CCCCOCCO,0.0,NR-AR
TOX4091,CCCN(CCC)C(=O)SCC,0.0,NR-AR
TOX6059,N#CCCC#N,0.0,NR-AR
TOX1575,CC(Cl)(Cl)C(=O)O,0.0,NR-AR
TOX1577,O=C(CCl)CCl,0.0,NR-AR
TOX1576,CC(=O)C(Cl)Cl,0.0,NR-AR
TOX1520,CCCCOCCOCCOCCO,0.0,NR-AR
TOX1863,CCOC(=O)CC(=O)OCC,0.0,NR-AR
TOX2008,CCCCCCCCCO,0.0,NR-AR
TOX2009,CCCCCCNCCCCCC,0.0,NR-AR
TOX2004,ClCCCCl,0.0,NR-AR
TOX2006,CCCCCCOC(C)=O,0.0,NR-AR
TOX5055,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0.0,NR-AR
TOX2001,CCOC(C)=O,0.0,NR-AR
TOX5050,NCCNCCN,1.0,NR-AR
TOX5051,CCOP(=O)(CC)OCC,0.0,NR-AR
TOX32,NC(=O)CCCCC(N)=O,0.0,NR-AR
TOX39,CNC(=O)ON=CC(C)(C)SC,0.0,NR-AR
TOX703,NN,0.0,NR-AR
TOX833,COC(C)(C)C,0.0,NR-AR
TOX834,COC(N)=O,0.0,NR-AR
TOX835,COC(=O)NN,0.0,NR-AR
TOX8956,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.0,NR-AR
TOX7528,CSCCC=O,0.0,NR-AR
TOX7529,CC(C)(C)C(=O)Cl,0.0,NR-AR
TOX7832,CCCCC(CC)COC(=O)Cl,0.0,NR-AR
TOX7525,CCCCC(CC)C(=O)[O-],0.0,NR-AR
TOX7835,C/C=C/C=C/C(=O)[O-],0.0,NR-AR
TOX27659,CCCCCC=CCC(=O)OC,0.0,NR-AR
TOX27651,CCCCCCCCC(=O)OCC,0.0,NR-AR
TOX27655,CCCCCCCC#N,0.0,NR-AR
TOX27654,CCCCCCCCCCCCCC(=O)OCC,0.0,NR-AR
TOX27657,CCCCCCC(O)CCOC(C)=O,0.0,NR-AR
TOX27656,C=CCCCCCCCCO,0.0,NR-AR
TOX26383,CNC(=O)NC(O)C(Cl)(Cl)Cl,0.0,NR-AR
TOX27035,CCCCCCC/C=C/C=O,0.0,NR-AR
