Drug_ID,Drug,Y
official_v15_1,C[C@H](N)[C@H](O)c1ccccc1,0
official_v15_2,CNC(=O)Oc1ccccc1OC(C)C,0
official_v15_3,CCNC(=O)Oc1ccccc1[N+](=O)[O-],0
official_v15_4,C=CCOc1ccccc1OC[C@H](O)CNC(C)C,0
official_v15_5,C[C@H](N)[C@H](O)c1ccc(O)c(O)c1,0
official_v15_6,CC(C)NC[C@H](O)c1cc(O)cc(O)c1,0
official_v15_7,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,0
official_v15_8,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
official_v15_9,CCN(CC)CC(=O)Nc1c(C)cccc1C,0
official_v15_10,COCCCNCc1cc(OC)c(OC)c(OC)c1,0
official_v15_11,O=[N+]([O-])c1ccc(O)cc1,0
official_v15_12,CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,0
official_v15_13,CCOc1ccc(NC(C)=O)cc1,0
official_v15_14,CN(C)Cc1ccccc1,0
official_v15_15,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,0
official_v15_16,COc1cccc(/C=N/NC(=O)C(=O)NC(C)(C)C)c1O,0
official_v15_17,COc1ccc(CCN)cc1OC,0
official_v15_18,CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,0
official_v15_19,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,0
official_v15_20,NCCc1ccccc1,0
official_v15_21,COc1cc(/C=C/C(N)=O)cc(OC)c1OC,0
official_v15_22,O=C(O)c1ccccc1OP(=O)(O)O,0
official_v15_23,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
official_v15_24,C=CCc1ccccc1OC[C@H](O)CNC(C)C,0
official_v15_25,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
official_v15_26,C#CCN(C)[C@@H](C)Cc1ccccc1,0
official_v15_27,CC(=O)Nc1ccc(O)cc1,0
official_v15_28,COc1ccccc1OC[C@@H](O)CO,0
