Tasks,Train % of Yes
hERG_Karim,49.80%
Carcinogens_Lagunin,22.40%
hERG,68.60%
AMES,52.90%
DILI,47.00%
Skin_Reaction,72.70%
Tox21,6.30%
ClinTox,6.90%
PAMPA_NCATS,84.20%
HIA_Hou,89.10%
Bioavailability_Ma,76.80%
BBB_Martins,74.30%
Pgp_Broccatelli,53.10%
CYP1A2_Veith,44.70%
CYP2C19_Veith,45.00%
CYP2C9_Veith,33.90%
CYP2D6_Veith,19.90%
CYP3A4_Veith,40.30%
CYP2C9_Substrate_CarbonMangels,19.20%
CYP2D6_Substrate_CarbonMangels,27.70%
CYP3A4_Substrate_CarbonMangels,50.60%
HIV,3.60%
SARSCoV2_3CLPro_Diamond,8.00%
SARSCoV2_Vitro_Touret,5.70%
