Drug_ID,Drug,Y
official_v15_1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0
official_v15_2,O=C(O)c1ccccc1O,0
official_v15_3,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
official_v15_4,CNC(C)C(O)c1ccccc1,0
official_v15_5,NCCc1ccc(O)c(O)c1,0
official_v15_6,CC(C)NCC(O)c1cc(O)cc(O)c1,0
official_v15_7,CNC(C)Cc1ccccc1,0
official_v15_8,Nc1ccc(C(=O)O)cc1,0
official_v15_9,NC(=O)NS(=O)(=O)c1ccc(N)cc1,1
official_v15_10,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,0
official_v15_11,NCC(O)c1ccc(O)c(O)c1,0
official_v15_12,CC(=O)Nc1cccc(O)c1,0
official_v15_13,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,1
official_v15_14,CC(N)(Cc1ccc(O)cc1)C(=O)O,0
official_v15_15,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
official_v15_16,CC(C)Cc1ccc(CC(=O)O)cc1,1
official_v15_17,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
official_v15_18,CC(=O)Oc1ccccc1C(=O)O,0
official_v15_19,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,0
official_v15_20,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0
official_v15_21,C#CCN(C)Cc1ccccc1,0
official_v15_22,CCOc1ccc(NC(C)=O)cc1,1
official_v15_23,C#CCN(C)C(C)Cc1ccccc1,0
official_v15_24,CC(C)(N)Cc1ccccc1,0
official_v15_25,CC(N)C(O)c1ccccc1,0
official_v15_26,C=CCOc1ccc(CC(=O)O)cc1Cl,1
official_v15_27,CC(C)c1cccc(C(C)C)c1O,0
official_v15_28,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,0
official_v15_29,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1
official_v15_30,NC(=O)c1ccccc1O,0
official_v15_31,Nc1ccc(S(N)(=O)=O)cc1,1
official_v15_32,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1
official_v15_33,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0
official_v15_34,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,0
official_v15_35,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0
official_v15_36,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,1
official_v15_37,CC[N+](C)(C)c1cccc(O)c1,0
official_v15_38,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,1
official_v15_39,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0
official_v15_40,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,0
official_v15_41,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1
official_v15_42,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0
official_v15_43,CNCC(O)c1ccc(O)c(O)c1,0
official_v15_44,CC(N)Cc1ccccc1,0
official_v15_45,COc1ccccc1OCC(O)CO,0
official_v15_46,CCCCCCc1ccc(O)cc1O,0
official_v15_47,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,0
official_v15_48,NNCCc1ccccc1,0
official_v15_49,CCN(CC)CC(=O)Nc1c(C)cccc1C,0
official_v15_50,NC(Cc1ccc(O)c(O)c1)C(=O)O,0
official_v15_51,COc1ccc(OC)c(C(O)C(C)N)c1,0
official_v15_52,CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC,0
official_v15_53,CC(C)NCC(O)c1ccc(O)c(O)c1,0
official_v15_54,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0
official_v15_55,CC(=O)OCC[N+](C)(C)C,0
official_v15_56,C[N+](C)(C)CC(=O)[O-],0
official_v15_57,OCC(O)C(O)C(O)C(O)CO,0
official_v15_58,NCCCCCC(=O)O,0
official_v15_59,CS(C)=O,0
official_v15_60,CN(C)C(=N)N=C(N)N,0
official_v15_61,C[N+](C)(C)CC(O)CC(=O)[O-],0
official_v15_62,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0
official_v15_63,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0
official_v15_64,COCCNC(=O)CN(CCN(CCN(CC(=O)[O-])CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-],0
official_v15_65,NCCCNCCSP(=O)(O)O,0
official_v15_66,NCCC(O)(P(=O)(O)O)P(=O)(O)O,0
official_v15_67,CC(C)(CO)C(O)C(=O)NCCCO,0
official_v15_68,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0
official_v15_69,[NH4+],0
official_v15_70,CC(C[N+](C)(C)C)OC(N)=O,0
official_v15_71,[Li+],0
official_v15_72,CS(=O)(=O)OCCCCOS(C)(=O)=O,1
official_v15_73,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0
official_v15_74,OC(O)C(Cl)(Cl)Cl,0
official_v15_75,[Cl-],0
official_v15_76,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0
official_v15_77,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0
official_v15_78,CC(C)CC(CN)CC(=O)O,0
official_v15_79,OCC(S)CS,1
