Drug_ID,Drug,Y
official_v15_1,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0
official_v15_2,C=CCOc1ccccc1OCC(O)CNC(C)C,1
official_v15_3,O=C(O)c1ccccc1OP(=O)(O)O,0
official_v15_4,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,0
official_v15_5,NC(=O)Nc1ccc([As](=O)(O)O)cc1,0
official_v15_6,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,1
official_v15_7,Cc1ccccc1OCC(O)CO,0
official_v15_8,C/C=C/C(=O)N(CC)c1ccccc1C,0
official_v15_9,CCCNC(C)(C)COC(=O)c1ccccc1,1
official_v15_10,CC(C)(N)Cc1ccccc1,1
official_v15_11,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,0
official_v15_12,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,1
official_v15_13,NNCCc1ccccc1,0
official_v15_14,NCC(O)c1ccc(O)cc1,0
official_v15_15,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0
official_v15_16,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0
official_v15_17,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0
official_v15_18,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,0
official_v15_19,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0
official_v15_20,CCCCOc1ccc(CC(=O)NO)cc1,0
official_v15_21,CCC(C)(CN(C)C)OC(=O)c1ccccc1,0
official_v15_22,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,0
official_v15_23,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,0
official_v15_24,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
official_v15_25,NCCc1ccc(O)c(O)c1,1
official_v15_26,CC(=O)Nc1ccc(C(=O)O)cc1,0
official_v15_27,CCN(CC)CCNC(=O)c1ccc(N)cc1,0
official_v15_28,CCCCOC(=O)c1ccc(N)cc1,0
official_v15_29,C/C=C/c1ccc(OC)cc1,1
official_v15_30,C=CCc1ccccc1OCC(O)CNC(C)C,0
official_v15_31,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,1
official_v15_32,CC(C)(C)NCC(O)c1ccccc1Cl,0
official_v15_33,CC(=O)Nc1ccccc1,0
official_v15_34,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0
official_v15_35,COc1ccccc1O,0
official_v15_36,CC(=O)Oc1ccccc1C(=O)O,0
official_v15_37,Nc1ccc(C(=O)NCC(=O)O)cc1,0
official_v15_38,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O,0
official_v15_39,CC(=O)Nc1ccc(CC(=O)O)cc1,0
official_v15_40,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
official_v15_41,N[C@H](Cc1ccccc1)C(=O)O,0
official_v15_42,CC(COc1ccccc1)NN,0
official_v15_43,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0
official_v15_44,C#CCN(C)[C@H](C)Cc1ccccc1,0
official_v15_45,NC(N)=NS(=O)(=O)c1ccc(N)cc1,0
official_v15_46,Cc1ccc(S(=O)(=O)[N-]Cl)cc1,0
official_v15_47,C[C@H](N)[C@H](O)c1cccc(O)c1,0
official_v15_48,CNCC(O)c1ccc(O)cc1,0
official_v15_49,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,0
official_v15_50,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0
official_v15_51,COc1ccc(OC)c(C(O)C(C)N)c1,0
official_v15_52,CC(=O)Nc1cccc(O)c1,0
official_v15_53,NCc1ccc(S(N)(=O)=O)cc1,0
official_v15_54,C[C@@H](N)[C@@H](O)c1ccccc1,0
official_v15_55,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0
official_v15_56,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,0
official_v15_57,CCOC(=O)c1ccc(OC(=O)CCCCCN=C(N)N)cc1,0
official_v15_58,CCNCC(O)c1cccc(O)c1,0
official_v15_59,Cc1cccc(C)c1NC(=O)C(C)N,0
official_v15_60,CCCCCCOc1ccccc1C(N)=O,0
official_v15_61,CCCNC(C)C(=O)Nc1ccccc1C,0
official_v15_62,NC(=O)OCCCc1ccccc1,0
official_v15_63,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0
official_v15_64,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,0
official_v15_65,NC(=O)OCC(COC(N)=O)c1ccccc1,0
official_v15_66,CC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,0
official_v15_67,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,0
official_v15_68,CCCCC(O)c1ccccc1,0
official_v15_69,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0
official_v15_70,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,0
official_v15_71,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,0
official_v15_72,NC(N)=N/N=C/c1c(Cl)cccc1Cl,0
official_v15_73,CCN(CC)C(C)C(=O)c1ccccc1,0
official_v15_74,CCOc1ccc(NC(=O)CC(C)O)cc1,0
official_v15_75,NCC(CC(=O)O)c1ccc(Cl)cc1,0
official_v15_76,CC(NN)c1ccccc1,0
official_v15_77,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0
